date,state,regime,prob_Risk-On,prob_Late-Cycle,prob_Transitional,prob_Post-Shock,prob_Risk-Off
2011-05-30,4,Risk-Off,9.94430349243231e-09,6.376552570091618e-09,8.77414763752868e-06,5.8914283844836944e-06,0.9999853181038866
2011-06-01,4,Risk-Off,1.579101970218699e-07,4.425349567469674e-08,3.977832994618296e-05,6.139076889481944e-06,0.9999538804289612
2011-06-02,4,Risk-Off,2.468069566572825e-06,8.126938756653735e-07,0.0004590413560763,5.640401394291364e-06,0.9995320374782796
2011-06-03,4,Risk-Off,1.5003531326847637e-05,5.010886588690322e-06,0.0002538514374942,4.334355287875034e-06,0.9997217997901684
2011-06-06,4,Risk-Off,1.7462475489809815e-05,1.7221208944063975e-05,0.0011610675407919,6.411595524038694e-06,0.9987978371790848
2011-06-07,4,Risk-Off,1.6950250026287053e-05,1.776101050841199e-05,0.0003672304444164,2.6399660080548967e-06,0.9995954183284902
2011-06-08,4,Risk-Off,4.99580013194492e-06,1.1312040269957192e-05,0.0002728748830126,2.2956308473316264e-06,0.9997085216456336
2011-06-09,4,Risk-Off,2.816619951857894e-06,4.550583275222193e-06,0.0003646588541548,2.555656147637265e-06,0.999625418286368
2011-06-10,4,Risk-Off,2.340278594123729e-06,1.7642997940273508e-06,9.170004279595208e-05,2.0638448991593205e-06,0.9999021315343588
2011-06-13,4,Risk-Off,3.964918629402746e-06,2.918780729246197e-06,0.000525131589199,2.480918021846264e-06,0.9994655037932112
2011-06-14,4,Risk-Off,1.0635012757663916e-05,5.799605059193171e-06,0.0002768199503951,1.8467806394517265e-06,0.999704898650452
2011-06-15,4,Risk-Off,8.192863135522745e-06,1.0322536086988324e-05,0.0005455858097102,3.071292717591339e-06,0.9994328274978236
2011-06-16,4,Risk-Off,5.492291590955657e-06,7.938227522040304e-06,0.0003451288855163,2.0045371496363517e-06,0.999639436057746
2011-06-17,4,Risk-Off,1.0446412608258015e-06,3.0595045411139293e-06,0.0001691089658425,1.5405285274072229e-06,0.9998252463600312
2011-06-20,4,Risk-Off,9.262423091457309e-08,1.847654232359148e-07,2.977211624629562e-05,2.016000712948173e-06,0.9999679344939696
2011-06-21,4,Risk-Off,1.1402414363911526e-07,3.4443668074230216e-08,2.054437595647328e-05,2.199827843859683e-06,0.999977107329066
2011-06-22,4,Risk-Off,9.847759939182607e-06,9.094832848898232e-07,0.0002995672045703,2.5839517604652867e-06,0.9996870916008804
2011-06-23,4,Risk-Off,0.0004120184290672,4.489556895754546e-05,0.0063966251308562,3.0254810555237145e-05,0.993116206059694
2011-06-24,4,Risk-Off,0.0103050586331917,0.001186853798471,0.1240372919279058,0.0001665764855162,0.8643042191556295
2011-06-27,4,Risk-Off,0.1144206692263561,0.0196505678046323,0.0843301588176849,0.0001211595023396,0.7814774446498269
2011-06-28,4,Risk-Off,0.0826160614690667,0.1057170567458967,0.0618743146272246,5.9746802892627214e-05,0.7497328203546518
2011-06-29,4,Risk-Off,0.0694575882953093,0.0910861954003032,0.1331682564321849,6.283369560157363e-05,0.7062251261759391
2011-06-30,4,Risk-Off,0.127280502012458,0.0844588899667345,0.1030651883063363,2.8559585383052147e-05,0.6851668601287166
2011-07-01,4,Risk-Off,0.10661137233131,0.1292545508767066,0.1164700900655245,3.546589864416947e-05,0.6476285208282908
2011-07-04,4,Risk-Off,0.1235915645887999,0.1218577599152672,0.1740486100532479,6.226210442801869e-05,0.5804398033376592
2011-07-05,4,Risk-Off,0.1748306321464489,0.1397509451656631,0.1576119442940836,6.674907076951124e-05,0.5277397293226492
2011-07-06,4,Risk-Off,0.1662916283673708,0.1854038021700677,0.2038751497997941,8.665462749068653e-05,0.4443427650351692
2011-07-07,2,Transitional,0.2161131660986655,0.1886622423035427,0.3399142420252877,0.0002858981939077,0.2550244513788607
2011-07-08,0,Risk-On,0.3405724199466165,0.2390647188945497,0.2149230735131095,9.347451948914134e-05,0.2053463131265286
2011-07-11,1,Late-Cycle,0.2311790961910889,0.3498504990050384,0.2433298636312861,6.296324994348678e-05,0.1755775779222643
2011-07-12,2,Transitional,0.254366040064882,0.2622857706677089,0.3076008271311909,8.013121798045062e-05,0.1756672309174369
2011-07-13,0,Risk-On,0.3200342965360976,0.2806553227422249,0.2907444581722467,0.000186445330572,0.108379477219261
2011-07-15,1,Late-Cycle,0.3029046436325841,0.3414178118448797,0.2996563388305673,0.0001343961091031,0.0558868095835244
2011-07-18,2,Transitional,0.3225300342311447,0.3193312188860353,0.3389880795808296,7.702856181014271e-05,0.0190736387409115
2011-07-19,0,Risk-On,0.3619307378894263,0.3571208329294006,0.2788721485126933,3.895520880153862e-05,0.0020373254598356
2011-07-20,1,Late-Cycle,0.2928757424711803,0.3957631367268117,0.3112983446406108,5.212631709507407e-06,5.75635288578191e-05
2011-07-21,2,Transitional,0.3482171024334424,0.3007048194404617,0.3510585425426488,4.1190662336143893e-07,1.912367761451881e-05
2011-07-22,0,Risk-On,0.3782368845746407,0.4049403027053089,0.2167682195335051,2.9402239582813325e-07,5.429916465104499e-05
2011-07-25,1,Late-Cycle,0.2136530975617706,0.4182747908814231,0.3630862581255548,2.793815112755967e-07,0.0049855740506437
2011-07-26,2,Transitional,0.0579077897060297,0.215420079436342,0.2894149173606068,6.035428837593482e-08,0.4372571531434537
2011-07-27,4,Risk-Off,0.0090135362635444,0.0508551289970674,0.1047780973028199,1.7198919444850105e-06,0.8353515175454603
2011-07-28,4,Risk-Off,0.0007029851639984,0.005649701584242,0.0141676875660152,2.881556859438359e-06,0.9794767441284552
2011-07-29,4,Risk-Off,2.6400110712183417e-05,0.0002514734539744,0.0007671695355868,2.274087472225367e-06,0.9989526828120058
2011-08-01,4,Risk-Off,6.897229725367237e-07,5.8984823052768045e-06,7.01397842621543e-05,2.688947502154494e-06,0.9999205830622676
2011-08-02,4,Risk-Off,5.947623057880624e-08,1.2964414185571104e-07,3.162869124916452e-05,5.1015488281397925e-05,0.9999171667007234
2011-08-03,4,Risk-Off,2.7832114916279337e-08,2.5060884940791184e-08,2.1054529606686975e-05,0.0021537356335539,0.9978251569442644
2011-08-04,4,Risk-Off,2.3827627702893037e-08,2.073905293180109e-08,2.3095181820816515e-05,0.0510330185895015,0.9489438416615767
2011-08-05,4,Risk-Off,7.867618961687851e-11,6.761426666258555e-11,8.502778824136389e-08,0.3181868828206603,0.6818130320060124
2011-08-08,3,Post-Shock,5.8217629666407096e-12,3.990412107115397e-12,1.0768415660765928e-08,0.9534114538121374,0.0465885354092594
2011-08-09,3,Post-Shock,2.687541690033243e-12,2.5905965012161755e-12,5.884874065456582e-09,0.9899906960149466,0.0100092980943174
2011-08-10,3,Post-Shock,8.320612519837348e-12,4.4358645070898176e-11,6.126605875642988e-08,0.9917306735508996,0.0082692651301529
2011-08-11,3,Post-Shock,7.693158269349219e-12,4.585476346019849e-11,5.403998203286999e-08,0.9931402603755336,0.0068596855300427
2011-08-12,3,Post-Shock,2.818743013760518e-13,7.058823096332334e-13,1.0246642140588646e-09,0.9975569211124862,0.0024430778618998
2011-08-16,3,Post-Shock,4.272090960590723e-14,2.3353620647565533e-13,3.5031920473850387e-10,0.9996004055756552,0.0003995940737973
2011-08-17,3,Post-Shock,2.8592666916576865e-16,9.959605291967472e-15,1.3363964437869592e-11,0.9998448305433596,0.0001551694437864
2011-08-18,3,Post-Shock,1.1698417063159144e-20,5.970092240172434e-19,1.074229616058342e-15,0.9999988507304134,1.1492701531972437e-06
2011-08-19,3,Post-Shock,2.514749399554761e-22,6.890682303318561e-19,1.3612381334225026e-15,0.9999999915671652,8.431985386441629e-09
2011-08-22,3,Post-Shock,1.4903285403457168e-21,6.098613045057636e-18,1.1615961070389218e-14,0.9999996745864866,3.254143768015228e-07
2011-08-23,3,Post-Shock,7.429080777130257e-23,2.6458885914840187e-19,5.027660325166782e-16,0.9999998668881832,1.3311125708017912e-07
2011-08-24,3,Post-Shock,4.226118118908982e-25,1.583152055244808e-21,3.693569093806163e-18,0.9999999872088666,1.2792006117234366e-08
2011-08-25,3,Post-Shock,4.618002086753237e-26,2.10194124233141e-22,3.8099727959091874e-19,0.9999999985229806,1.477718238972075e-09
